Georgenia_Cluster_1	Georgenia_sp_Georgenia_soli_Georgenia_muralis_Georgenia_ferrireducens_Georgenia_daeguensis_Georgenia_ruanii
Streptomyces_Cluster_3	Streptomyces_speibonae_Streptomyces_xylophagus_Streptomyces_wuyuanensis_Streptomyces_viridodiastaticus_Streptomyces_violorubens_Streptomyces_violarus_Streptomyces_violaceus_Streptomyces_violaceoruber_Streptomyces_violaceochromogenes_Streptomyces_vinaceus_Streptomyces_tunisiensis_Streptomyces_tumenensis_Streptomyces_tuirus_Streptomyces_toyocaensis_Streptomyces_thermoluteus_Streptomyces_thermocarboxydus_Streptomyces_tendae_Streptomyces_stramineus_Streptomyces_setonii_Streptomyces_rubrogriseus_Streptomyces_roseoviolaceus_Streptomyces_roseorubens_Streptomyces_resistomycificus_Streptomyces_purpurascens_Streptomyces_pseudogriseolus_Streptomyces_plemorphus_Streptomyces_piloviolofuscus_Streptomyces_phaeochromogenes_Streptomyces_parvulus_Streptomyces_paradoxus_Streptomyces_owasiensis_Streptomyces_olivoverticillatus_Streptomyces_olivaceus_Streptomyces_misionensis_Streptomyces_microflavus_Streptomyces_matensis_Streptomyces_massasporeus_Streptomyces_marokkonensis_Streptomyces_malachitofuscus_Streptomyces_macrosporeus_Streptomyces_luteosporeus_Streptomyces_luteogriseus_Streptomyces_longispororuber_Streptomyces_lienomycini_Streptomyces_levis_Streptomyces_lateritius_Streptomyces_labedae_Streptomyces_inaequalis_Streptomyces_iakyrus_Streptomyces_hydrogenans_Streptomyces_hawaiiensis_Streptomyces_griseoruber_Streptomyces_griseorubens_Streptomyces_griseoloalbus_Streptomyces_griseoincarnatus_Streptomyces_griseoflavus_Streptomyces_ghanaensis_Streptomyces_flavoviridis_Streptomyces_erythrogriseus_Streptomyces_djakartensis_Streptomyces_cyaneus_Streptomyces_coerulescens_Streptomyces_coeruleorubidus_Streptomyces_coeruleofuscus_Streptomyces_chartreusis_Streptomyces_capillispiralis_Streptomyces_caelestis_Streptomyces_bellus_Streptomyces_azureus_Streptomyces_aureofaciens_Streptomyces_aurantiacus_Streptomyces_atrovirens_Streptomyces_atratus_Streptomyces_arenae_Streptomyces_ambofaciens_Streptomyces_althioticus_Streptomyces_albosporeus_Streptomyces_albogriseolus_Streptomyces_akiyoshiensis_Streptomyces_africanus_Streptomyces_afghaniensis
Bacillus_Cluster_4	Bacillus_toyonensis_Bacillus_thuringiensis_Bacillus_anthracis_Bacillus_weihenstephanensis_Bacillus_pseudomycoides_Bacillus_phage_Bacillus_mycoides_Bacillus_meqaterium_Bacillus_gaemokensis_Bacillus_bombysepticus
Sphingobacterium_Cluster_1	Sphingobacterium_siyangense_Sphingobacterium_pakistanense_Sphingobacterium_multivorum_Sphingobacterium_ginsenosidimutans_Sphingobacterium_detergens_Sphingobacterium_cladoniae_Sphingobacterium_caeni_Sphingobacterium_canadense
Kribbella_Cluster_3	Kribbella_sp_Kribbella_solani_Kribbella_shirazensis_Kribbella_jejuensis_Kribbella_aluminosa_Kribbella_hippodromi
Pseudomonas_Cluster_6	Pseudomonas_taeanensis_Pseudomonas_seleniipraecipitans_Pseudomonas_kuykendallii_Pseudomonas_capeferrum
Borrelia_Cluster_1	Borrelia_sp_Borrelia_burgdorferi_Borrelia_americana_Borrelia_bissettii_Borrelia_carolinensis_Borrelia_afzelii_Borrelia_mayonii
Microbacterium_Cluster_3	Microbacterium_paraoxydans_Microbacterium_testaceum_Microbacterium_yannicii_Microbacterium_xylanilyticum_Microbacterium_luticocti_Microbacterium_azadirachtae_Microbacterium_trichothecenolyticum_Microbacterium_trichotecenolyticum_Microbacterium_takaoensis_Microbacterium_saperdae_Microbacterium_resistens_Microbacterium_proteolyticum_Microbacterium_natoriense_Microbacterium_mitrae_Microbacterium_laevaniformans_Microbacterium_kyungheense_Microbacterium_hydrothermale_Microbacterium_hydrocarbonoxydans_Microbacterium_hominis_Microbacterium_gorillae_Microbacterium_ginsengiterrae_Microbacterium_ginsengisoli_Microbacterium_foliorum_Microbacterium_dextranolyticum_Microbacterium_arthrosphaerae_Microbacterium_aerolatum_Microbacterium_enclense
Chryseomicrobium_Cluster_1	Chryseomicrobium_sp_Chryseomicrobium_imtechense_Chryseomicrobium_aureum_Chryseomicrobium_amylolyticum
Bacillus_Cluster_1	Bacillus_selenatarsenatis_Bacillus_thioparans_Bacillus_subterraneus_Bacillus_stamsii_Bacillus_jeotgali_Bacillus_boroniphilus_Bacillus_aeris
Marinococcus_Cluster_1	Marinococcus_tarijensis_Marinococcus_sp_Marinococcus_halotolerans_Marinococcus_halophilus_Marinococcus_luteus
Bradyrhizobium_Cluster_1	Bradyrhizobium_yuanmingense_Bradyrhizobium_vignae_Bradyrhizobium_subterraneum_Bradyrhizobium_liaoningense_Bradyrhizobium_kavangense_Bradyrhizobium_iriomotense_Bradyrhizobium_genosp_Bradyrhizobium_canariense_Bradyrhizobium_arachidis
Paenibacillus_Cluster_2	Paenibacillus_zanthoxyli_Paenibacillus_sophorae_Paenibacillus_sabinae_Paenibacillus_durus_Paenibacillus_brassicae
Acinetobacter_Cluster_1	Acinetobacter_vivianii_Acinetobacter_proteolyticus_Acinetobacter_plantarum_Acinetobacter_modestus_Acinetobacter_indicus_Acinetobacter_gyllenbergii_Acinetobacter_gerneri_Acinetobacter_courvalinii_Acinetobacter_bereziniae_Acinetobacter_beijerinckii_Acinetobacter_berezinae
Streptomyces_Cluster_22	Streptomyces_ovatisporus_Streptomyces_nanshensis_Streptomyces_marinus_Streptomyces_abyssalis_Streptomyces_haliclonae_Streptomyces_daqingensis
Idiomarina_Cluster_1	Idiomarina_zobellii_Idiomarina_seosinensis_Idiomarina_baltica_Idiomarina_aquatica_Idiomarina_piscisalsi
